Type,Commit,Date,Digest
scratch,115cd1ab,2020-04-23,sha256:edaae69a1e8224100ff720baae27ccf833e4a8ef3bce0bbcb612e1152927f62d
alpine,115cd1ab,2020-04-23,sha256:0c0524454321bcaae6658a9f63140fc9d97d470868d9d677b15a289e7165d7bb
scratch,bae6ea50,2021-04-28,sha256:c8e2e11d53546a7d740b252c0ec7653e81b89fb26c4000c0b1f0779a34179b2e
alpine,bae6ea50,2021-04-28,sha256:66e23f9b22ad4d3538bda36df07946312e30fd38f378499089766c923d971933
scratch,ee87d1e1,2021-04-29,sha256:2dd25b8ce436336dbca9220b03ddb22d08b17a8144909cb8b97e19a2cc6e0266
alpine,ee87d1e1,2021-04-29,sha256:1d94c06ad5c9c579de76521bfcb6d019a6e93e2947d8ba541736ff1de8097d8c
scratch,5af7fe95,2021-04-30,sha256:95f77f9aa21a964bb8ec55e534afc1a9199711acd118427cc59325294de9c97c
alpine,5af7fe95,2021-04-30,sha256:55caa636b05a116c81077e34d8a0616a8e8aac1b0d326473c77cd8b0a1e9fd42
scratch,2ae02af3,2021-05-01,sha256:996f3d29f72555467806478ea72ac808ca617169e7c003fa4ca85fb5ca3de3aa
alpine,2ae02af3,2021-05-01,sha256:d92f3d904dd563b72a4f629deef1e653b205591e9baab1087fe926cde5c53411
scratch,fc96d124,2021-05-03,sha256:4dbc7ffa37a13d1de81496fbe5415162c34446c8fa7b8b604bac5866304bc057
alpine,fc96d124,2021-05-03,sha256:9bdbc6d22977ba7c74064d0e5556e480d0f2da364b240d681d65403ec3ee2575
scratch,da982427,2021-05-04,sha256:496811f04b4d15681d00817f4f4e793b94446dffde9624f082f720dc0c5efe7d
alpine,da982427,2021-05-04,sha256:16fd01212980c3dfe9a48e4b5b62337cbac7bb65b6e64a1223760e3df82b99ea
scratch,2ffd8707,2021-05-06,sha256:131aabf4bfc8722063f9d29565caab08bf259f477d2cccce8550ad5e8eeccdf9
alpine,2ffd8707,2021-05-06,sha256:37d52a65c32c031724427206f2c905ac984e41cb48caa07788f3b85ec706e85d
