Component,Origin,License,Copyright
cloud.google.com/go/compute/metadata,https://github.com/googleapis/google-cloud-go/blob/compute/metadata,Apache-2.0,Copyright 2014 Google LLC
cloud.google.com/go/iam,https://github.com/googleapis/google-cloud-go/blob/iam/v1.1.5/iam,Apache-2.0,Copyright 2016 Google LLC
cloud.google.com/go/internal,https://github.com/googleapis/google-cloud-go/blob/v0.110.10,Apache-2.0,Copyright 2014 Google LLC
cloud.google.com/go/storage,https://github.com/googleapis/google-cloud-go/blob/storage/v1.30.1/storage,Apache-2.0,Copyright 2022 Google LLC
toml,https://github.com/BurntSushi/toml,MIT,Copyright (c) 2013 TOML authors
kics,https://github.com/Checkmarx/kics,Apache-2.0,
xxhash,https://github.com/OneOfOne/xxhash,Apache-2.0,"(c) 2012-2014, Yann Collet"
ewma,https://github.com/VividCortex/ewma,MIT,Copyright (c) 2013 VividCortex
levenshtein,https://github.com/agext/levenshtein,Apache-2.0,Copyright 2016 ALRUX Inc.
levenshtein,https://github.com/agnivade/levenshtein,MIT,Copyright (c) 2015 Agniva De Sarker
v4,https://github.com/antlr4-go/antlr,BSD-3-Clause,Copyright (c) 2012-2023 The ANTLR Project
textseg,https://github.com/apparentlymart/go-textseg,MIT,Copyright (c) 2017 Martin Atkins
aws-sdk-go,https://github.com/aws/aws-sdk-go,Apache-2.0,"Copyright 2015 Amazon.com, Inc. or its affiliates
Copyright 2014-2015 Stripe, Inc."
aws-sdk-go-v2,https://github.com/aws/aws-sdk-go-v2,Apache-2.0,"Copyright 2015 Amazon.com, Inc. or its affiliates
Copyright 2014-2015 Stripe, Inc."
singleflight,https://github.com/aws/aws-sdk-go-v2/blob/v1.30.3/internal/sync/singleflight,BSD-3-Clause,Copyright (c) 2009 The Go Authors
singleflight,https://github.com/aws/aws-sdk-go/blob/v1.44.122/internal/sync/singleflight,BSD-3-Clause,Copyright (c) 2009 The Go Authors
smithy-go,https://github.com/aws/smithy-go,Apache-2.0,"Copyright Amazon.com, Inc. or its affiliates"
singleflight,https://github.com/aws/smithy-go/blob/v1.20.3/internal/sync/singleflight,BSD-3-Clause,"Copyright Amazon.com, Inc. or its affiliates"
netrc,https://github.com/bgentry/go-netrc,MIT,"Original version Copyright © 2010 Fazlul Shahriar <fshahriar@gmail.com>. Newer
portions Copyright © 2014 Blake Gentry <blakesgentry@gmail.com>"
go-configparser,https://github.com/bigkevmcd/go-configparser,MIT,Copyright (c) 2013-15 Kevin McDermott
