Query,Status,Tipo de erro,No expected (errado),Valor correto (actual),Notas
ansible/aws/instance_uses_metadata_service_IMDSv1,,issueType errado,IncorrectValue,MissingAttribute,
terraform/nifcloud/load_balancer_use_insecure_tls_policy_name,,issueType errado,MissingAttribute,IncorrectValue,
azureResourceManager/sql_server_database_without_auditing,,issueType errado,MissingAttribute,IncorrectValue,
azureResourceManager/storage_logging_for_read_write_delete_requests_disabled,,issueType errado,MissingAttribute,IncorrectValue,
azureResourceManager/website_with_client_certificate_auth_disabled,,issueType errado,MissingAttribute,IncorrectValue,
openAPI/2.0/security_definitions_undefined_or_empty,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_create_or_update_network_security_group_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_create_or_update_public_ip_address_rule_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_create_or_update_security_solution_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_create_or_update_sql_server_firewall_rule_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_create_policy_assignment_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_delete_network_security_group_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_delete_policy_assignment_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_delete_public_ip_address_rule_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_delete_security_solution_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_delete_sql_server_firewall_rule_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/activity_log_alert_for_service_health_not_configured,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/backup_vault_without_immutability,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/diagnostic_settings_without_appropriate_logging,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/recovery_services_vaut_with_public_network_access,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/recovery_services_vaut_without_immutability,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/storage_account_not_using_latest_smb_protocol_version,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/storage_account_using_unsafe_smb_channel_encryption,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/storage_account_with_shared_access_key,,issueType errado,MissingAttribute,IncorrectValue,
terraform/azure/storage_account_without_delete_lock,,issueType errado,IncorrectValue,MissingAttribute,
terraform/azure/vm_without_encryption_at_host,,issueType errado,MissingAttribute,IncorrectValue,
k8s/image_pull_policy_of_container_is_not_always,,issueType errado,MissingAttribute,IncorrectValue,
openAPI/general/path_parameter_not_required,,issueType errado,MissingAttribute,IncorrectValue,
terraform/aws/api_gateway_access_logging_disabled,,issueType errado,MissingAttribute,IncorrectValue,
terraform/aws/auto_scaling_group_with_no_associated_elb,,issueType errado,MissingAttribute,IncorrectValue,
terraform/aws/glue_security_configuration_encryption_disabled,,issueType errado,MissingAttribute,IncorrectValue,
terraform/aws/msk_cluster_encryption_disabled,,issueType errado,MissingAttribute,IncorrectValue,
terraform/aws/msk_cluster_logging_disabled,,issueType errado,MissingAttribute,IncorrectValue,
terraform/aws/rds_with_backup_disabled,,issueType errado,MissingAttribute,IncorrectValue,
terraform/aws/sns_topic_not_encrypted,,issueType errado,MissingAttribute,IncorrectValue,
cloudFormation/aws/elb_with_security_group_without_outbound_rules,,issueType errado,MissingAttribute,IncorrectValue,
cloudFormation/aws/elb_without_secure_protocol,,issueType errado,MissingAttribute,IncorrectValue,
cloudFormation/aws/neptune_logging_is_disabled,,issueType errado,MissingAttribute,IncorrectValue,
cloudFormation/aws/secretsmanager_secret_without_kms,,issueType errado,IncorrectValue,MissingAttribute,
dockerfile/apt_get_install_pin_version_not_defined,,issueType errado,MissingAttribute,IncorrectValue,
